Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition,MonthlyIncomeGroup,Working_Hours_Group,Experience_Group,Long_Term,Senior_Employee,High_Performer,Salary_Level
2337,40,,,,,5,13878,74,18,8,3,2,1,4,8,,3,58,10,3,2,2,46,2,,,High,,1,0,1,Level 3
2338,32,,,,,3,11713,64,28,1,3,3,3,3,14,,6,33,11,3,3,4,17,1,,Very High,Low,,1,0,0,Level 3
2339,40,,,,,5,7937,22,19,3,5,1,3,3,91,,7,41,9,4,1,1,35,4,,High,Normal,,1,0,0,Level 2
2340,27,,,,,2,4876,32,16,4,2,3,4,3,29,,3,44,0,1,3,1,15,1,,Medium,Normal,,1,0,0,Level 1
2341,59,,,,,4,7032,44,12,3,2,2,3,1,43,,7,51,16,3,1,4,2,1,,High,High,,1,1,0,Level 1
2342,26,,,,,2,5205,36,6,9,8,4,3,3,22,,4,39,13,3,3,2,14,2,,Medium,Normal,Senior,1,0,0,Level 1
2343,42,,,,,2,3546,95,1,6,6,3,1,4,67,,3,47,3,4,3,4,49,4,,Medium,High,New,0,0,1,Level 1
2344,51,,,,,3,13745,23,12,3,8,2,4,3,77,,6,33,19,4,2,3,7,3,,,Low,,1,1,0,Level 3
2345,30,,,,,5,5069,36,24,8,1,2,4,1,82,,4,30,19,1,2,1,1,1,,Medium,Low,,1,0,0,Level 1
2346,41,,,,,5,19066,24,11,9,3,3,5,3,87,,4,45,4,1,3,3,27,4,,,Normal,Expert,1,0,0,Level 4
2347,41,,,,,5,18971,81,11,10,7,4,5,4,56,,9,45,7,4,2,1,49,2,,,Normal,Expert,1,0,1,Level 4
2348,44,,,,,2,3016,95,9,4,8,1,5,4,44,,3,35,15,1,4,3,11,3,,Medium,Low,Expert,1,0,1,Level 1
2349,41,,,,,4,5809,23,2,13,2,3,5,2,99,,1,38,14,3,2,2,19,2,,Medium,Normal,New,0,0,0,Level 1
2350,47,,,,,4,15542,61,29,5,7,4,4,4,70,,5,50,12,1,3,4,24,2,,,High,,1,0,1,Level 3
2351,48,,,,,2,11519,54,25,3,7,1,1,1,17,,1,54,13,2,2,2,29,3,,Very High,High,,1,0,0,Level 3
2352,32,,,,,1,13189,50,21,14,2,1,5,3,44,,8,37,11,4,3,3,7,3,,,Normal,,1,0,0,Level 3
2353,37,,,,,2,8592,33,8,5,7,2,5,4,48,,8,42,13,4,4,4,23,4,,High,Normal,Expert,1,0,1,Level 2
2354,21,,,,,5,5354,16,1,2,5,3,4,3,14,,7,53,3,3,1,1,13,2,,Medium,High,New,0,0,0,Level 1
2355,48,,,,,2,15463,59,1,2,8,1,2,1,46,,1,51,7,2,3,1,36,1,,,High,New,0,0,0,Level 3
2356,40,,,,,1,17648,97,28,11,0,2,1,3,4,,9,40,18,4,3,2,34,3,,,Normal,,1,0,0,Level 4
2357,34,,,,,2,18241,47,12,13,8,1,1,3,99,,4,53,17,1,4,1,44,3,,,High,,1,0,0,Level 4
2358,46,,,,,5,11735,78,4,5,7,1,1,1,61,,6,33,12,4,3,3,3,2,,Very High,Low,Experienced,0,0,0,Level 3
2359,50,,,,,3,18171,40,1,7,9,1,2,4,83,,1,47,14,2,3,2,1,2,,,High,New,0,1,1,Level 4
2360,34,,,,,4,10707,48,12,1,7,2,5,1,6,,2,36,16,2,3,3,3,2,,Very High,Normal,,1,0,0,Level 2
2361,42,,,,,1,10043,77,14,3,7,1,5,4,73,,2,56,15,1,2,2,13,3,,Very High,High,,1,0,1,Level 2
2362,43,,,,,3,5748,42,1,1,9,2,1,1,64,,6,33,17,1,1,3,47,3,,Medium,Low,New,0,0,0,Level 1
2363,32,,,,,4,12548,94,12,8,6,2,2,3,97,,1,39,3,3,2,2,49,1,,,Normal,,1,0,0,Level 3
2364,41,,,,,3,12558,92,5,2,2,1,2,3,86,,4,40,1,2,4,1,26,1,,,Normal,Experienced,1,0,0,Level 3
2365,56,,,,,2,9412,20,2,6,5,1,4,2,93,,1,58,12,1,3,3,18,3,,Very High,High,New,0,1,0,Level 2
2366,52,,,,,2,11377,25,4,11,9,2,4,3,39,,2,39,1,1,3,4,29,3,,Very High,Normal,Experienced,0,1,0,Level 2
2367,22,,,,,4,11103,60,24,6,7,1,5,4,82,,4,35,15,1,3,2,34,2,,Very High,Low,,1,0,1,Level 2
2368,38,,,,,4,6915,34,11,9,7,3,5,3,56,,9,58,9,3,3,2,44,1,,High,High,Expert,1,0,0,Level 1
2369,42,,,,,2,8341,50,22,6,3,4,5,1,32,,1,46,8,3,4,3,13,4,,High,High,,1,0,0,Level 2
2370,48,,,,,2,10940,30,18,10,7,1,1,1,97,,9,42,14,1,2,2,7,2,,Very High,Normal,,1,0,0,Level 2
2371,49,,,,,4,8865,84,19,6,7,1,1,3,79,,8,33,17,2,2,2,44,4,,High,Low,,1,0,0,Level 2
2372,58,,,,,4,12851,86,18,13,0,4,4,3,33,,4,41,5,4,2,2,47,3,,,Normal,,1,1,0,Level 3
2373,44,,,,,4,3037,59,20,11,4,3,5,4,29,,1,49,4,1,2,2,3,3,,Medium,High,,1,0,1,Level 1
2374,56,,,,,5,4978,62,15,1,6,2,5,1,23,,4,31,7,3,2,1,42,4,,Medium,Low,,1,1,0,Level 1
2375,27,,,,,5,17429,18,21,7,7,4,4,1,95,,5,57,10,1,4,2,27,1,,,High,,1,0,0,Level 4
2376,35,,,,,2,18592,62,28,14,8,2,1,4,35,,8,53,3,2,2,3,23,2,,,High,,1,0,1,Level 4
2377,27,,,,,5,13921,98,15,14,5,4,1,2,15,,9,33,7,4,4,2,39,2,,,Low,,1,0,0,Level 3
2378,20,,,,,1,9241,81,9,12,9,2,4,1,82,,7,55,8,2,1,3,46,2,,Very High,High,Expert,1,0,0,Level 2
2379,24,,,,,2,6454,42,23,6,4,2,2,2,57,,5,41,14,3,4,2,22,2,,High,Normal,,1,0,0,Level 1
2380,22,,,,,1,7674,44,8,13,7,3,3,3,2,,6,56,16,2,4,2,1,1,,High,High,Expert,1,0,0,Level 2
2381,20,,,,,3,6360,43,23,14,5,2,3,2,80,,8,44,11,1,4,1,11,4,,High,Normal,,1,0,0,Level 1
2382,23,,,,,1,7298,35,27,8,1,3,4,4,30,,2,49,2,1,2,4,4,2,,High,High,,1,0,1,Level 2
2383,59,,,,,3,16799,56,10,1,8,3,2,4,2,,9,35,19,1,3,2,11,2,,,Low,Expert,1,1,1,Level 4
2384,54,,,,,1,6475,64,8,8,8,1,4,2,11,,5,40,5,1,4,2,17,2,,High,Normal,Expert,1,1,0,Level 1
2385,51,,,,,3,9560,17,29,8,0,2,5,1,37,,7,33,7,4,3,1,18,1,,Very High,Low,,1,1,0,Level 2
2386,53,,,,,3,16062,79,11,1,8,4,2,1,45,,2,46,5,3,3,2,38,1,,,High,Expert,1,1,0,Level 4
2387,44,,,,,2,15905,37,21,11,4,2,5,1,93,,8,43,17,2,4,1,26,1,,,Normal,,1,0,0,Level 4
2388,29,,,,,4,10297,19,19,7,8,1,4,1,61,,2,32,5,2,2,1,4,3,,Very High,Low,,1,0,0,Level 2
2389,40,,,,,4,17084,39,12,7,4,1,1,1,69,,5,37,17,4,4,1,18,4,,,Normal,,1,0,0,Level 4
2390,58,,,,,2,18169,49,7,7,9,2,5,3,76,,4,31,0,2,2,1,47,4,,,Low,Senior,1,1,0,Level 4
2391,46,,,,,3,7233,79,1,12,5,3,1,4,52,,6,53,7,4,1,3,11,1,,High,High,New,0,0,1,Level 2
2392,46,,,,,4,5462,93,3,13,8,4,1,3,33,,9,45,16,1,3,2,36,4,,Medium,Normal,New,0,0,0,Level 1
2393,21,,,,,4,13859,53,23,13,6,4,4,4,4,,7,44,11,1,4,4,10,1,,,Normal,,1,0,1,Level 3
2394,32,,,,,1,19909,32,13,3,3,2,4,3,85,,4,35,0,1,3,2,9,4,,,Low,,1,0,0,Level 4
2395,28,,,,,5,11106,39,4,3,5,1,3,1,72,,8,58,2,1,4,2,31,3,,Very High,High,Experienced,0,0,0,Level 2
2396,55,,,,,2,3462,15,23,11,7,2,5,2,32,,9,54,16,1,1,2,27,2,,Medium,High,,1,1,0,Level 1
2397,41,,,,,5,15308,76,26,8,4,2,1,2,26,,5,31,5,2,3,1,7,1,,,Low,,1,0,0,Level 3
2398,45,,,,,3,8916,23,10,8,3,2,5,2,11,,9,59,14,2,4,3,19,1,,High,High,Expert,1,0,0,Level 2
2399,31,,,,,1,13170,55,6,8,6,3,5,2,17,,7,46,7,1,4,4,44,4,,,High,Senior,1,0,0,Level 3
2400,36,,,,,4,15735,36,4,12,2,3,4,1,46,,8,57,3,2,3,2,32,3,,,High,Experienced,0,0,0,Level 4
2401,33,,,,,1,15542,80,23,3,3,1,5,2,41,,5,47,4,4,4,3,17,3,,,High,,1,0,0,Level 3
2402,33,,,,,2,3302,59,8,4,6,3,3,2,72,,1,50,12,4,1,1,34,4,,Medium,High,Expert,1,0,0,Level 1
2403,53,,,,,3,3776,66,14,12,4,3,2,1,88,,2,36,12,1,1,4,31,4,,Medium,Normal,,1,1,0,Level 1
2404,39,,,,,1,14451,34,24,2,0,1,1,4,29,,8,36,8,4,3,3,31,1,,,Normal,,1,0,1,Level 3
2405,30,,,,,1,3623,26,23,11,5,3,2,2,36,,2,38,0,4,1,2,19,1,,Medium,Normal,,1,0,0,Level 1
2406,35,,,,,1,4459,88,18,3,8,4,2,3,41,,6,50,8,4,1,4,37,3,,Medium,High,,1,0,0,Level 1
2407,50,,,,,4,10030,78,8,5,9,4,1,2,15,,1,38,9,2,2,2,4,1,,Very High,Normal,Expert,1,1,0,Level 2
2408,25,,,,,3,17723,46,5,3,2,1,2,3,26,,5,53,14,3,4,2,30,2,,,High,Experienced,1,0,0,Level 4
2409,38,,,,,4,7775,76,14,4,3,1,5,3,22,,9,53,18,2,2,1,34,4,,High,High,,1,0,0,Level 2
2410,56,,,,,1,4061,19,25,7,9,3,4,1,69,,1,45,8,1,4,4,11,1,,Medium,Normal,,1,1,0,Level 1
2411,23,,,,,4,3287,58,22,3,1,4,3,4,94,,5,50,8,3,4,1,21,4,,Medium,High,,1,0,1,Level 1
2412,23,,,,,4,18081,43,15,1,2,2,3,4,77,,1,34,15,1,4,3,22,2,,,Low,,1,0,1,Level 4
2413,39,,,,,2,10955,47,20,13,4,3,5,3,26,,4,47,15,4,1,3,28,3,,Very High,High,,1,0,0,Level 2
2414,29,,,,,5,4143,27,25,14,5,4,4,2,16,,4,49,11,2,2,3,31,2,,Medium,High,,1,0,0,Level 1
2415,43,,,,,5,9544,64,17,1,1,2,4,1,5,,4,41,6,3,3,3,33,1,,Very High,Normal,,1,0,0,Level 2
2416,54,,,,,2,12615,16,4,4,1,3,2,3,77,,7,34,17,3,3,1,48,4,,,Low,Experienced,0,1,0,Level 3
2417,45,,,,,2,18882,89,27,1,5,3,3,3,82,,9,49,15,1,4,1,20,4,,,High,,1,0,0,Level 4
2418,56,,,,,4,16196,42,21,6,0,3,3,3,9,,8,59,14,2,3,4,2,2,,,High,,1,1,0,Level 4
2419,57,,,,,4,11849,32,20,4,1,4,3,3,44,,5,52,6,4,4,4,3,4,,Very High,High,,1,1,0,Level 3
2420,40,,,,,3,10713,87,13,5,3,2,1,2,55,,9,56,5,2,2,2,29,4,,Very High,High,,1,0,0,Level 2
2421,59,,,,,5,16909,80,15,6,0,4,3,2,30,,9,40,15,4,3,4,10,1,,,Normal,,1,1,0,Level 4
2422,58,,,,,4,11870,60,9,2,4,4,1,1,90,,6,51,18,4,2,1,14,3,,Very High,High,Expert,1,1,0,Level 3
2423,40,,,,,3,5744,31,17,1,2,4,5,1,39,,5,58,18,3,1,4,8,3,,Medium,High,,1,0,0,Level 1
2424,29,,,,,5,4679,47,3,13,9,4,1,3,2,,2,58,18,2,1,4,37,3,,Medium,High,New,0,0,0,Level 1
2425,57,,,,,3,17689,47,9,10,0,2,1,4,46,,9,52,8,1,4,1,39,2,,,High,Expert,1,1,1,Level 4
2426,23,,,,,3,8002,98,28,12,3,1,4,4,91,,1,40,12,4,4,1,2,1,,High,Normal,,1,0,1,Level 2
2427,39,,,,,2,6966,44,23,12,0,4,2,2,23,,8,40,2,1,1,1,14,4,,High,Normal,,1,0,0,Level 1
2428,36,,,,,1,16766,36,21,2,1,2,4,2,10,,3,40,10,3,2,1,42,2,,,Normal,,1,0,0,Level 4
2429,26,,,,,1,9335,67,11,14,9,2,3,3,74,,5,37,15,1,2,2,10,1,,Very High,Normal,Expert,1,0,0,Level 2
2430,23,,,,,1,11784,60,22,6,6,4,4,4,30,,5,45,3,2,4,2,26,4,,Very High,Normal,,1,0,1,Level 3
2431,48,,,,,3,19203,58,20,13,0,2,2,1,46,,7,45,9,4,3,2,40,4,,,Normal,,1,0,0,Level 4
2432,33,,,,,4,16185,89,21,10,5,3,1,4,77,,4,47,11,3,2,2,40,3,,,High,,1,0,1,Level 4
2433,22,,,,,1,12776,48,24,9,3,4,1,4,42,,1,54,3,4,4,2,27,4,,,High,,1,0,1,Level 3
2434,43,,,,,4,7911,42,5,8,5,2,5,3,10,,1,47,15,2,1,2,21,1,,High,High,Experienced,1,0,0,Level 2
2435,56,,,,,5,13806,49,26,10,4,3,5,1,55,,4,48,15,4,3,1,30,1,,,High,,1,1,0,Level 3
2436,35,,,,,1,7207,82,18,11,5,3,2,2,5,,2,54,2,4,1,1,14,4,,High,High,,1,0,0,Level 2
2437,23,,,,,3,7766,23,24,1,4,3,2,3,0,,2,57,9,1,4,1,5,4,,High,High,,1,0,0,Level 2
2438,43,,,,,2,11217,36,12,5,1,3,4,1,75,,2,48,16,3,1,3,15,4,,Very High,High,,1,0,0,Level 2
2439,53,,,,,3,6048,75,19,7,9,2,2,1,1,,4,48,4,1,1,4,12,2,,High,High,,1,1,0,Level 1
2440,49,,,,,4,11813,99,5,8,3,3,4,1,35,,1,41,9,2,3,1,11,1,,Very High,Normal,Experienced,1,0,0,Level 3
2441,37,,,,,5,16377,39,29,7,6,2,5,4,72,,5,54,11,3,4,1,13,3,,,High,,1,0,1,Level 4
2442,38,,,,,3,11908,95,12,1,3,4,4,4,79,,8,36,12,1,2,1,12,3,,Very High,Normal,,1,0,1,Level 3
2443,50,,,,,2,10667,93,27,12,4,4,4,4,40,,2,45,6,1,3,4,19,2,,Very High,Normal,,1,1,1,Level 2
2444,38,,,,,2,10903,55,6,4,1,1,5,3,97,,1,56,17,4,3,3,42,2,,Very High,High,Senior,1,0,0,Level 2
2445,38,,,,,5,9725,21,17,4,2,1,3,3,64,,5,30,18,3,1,4,35,1,,Very High,Low,,1,0,0,Level 2
2446,41,,,,,1,7464,73,14,9,4,3,2,2,32,,2,39,16,4,1,1,46,2,,High,Normal,,1,0,0,Level 2
2447,43,,,,,3,4845,86,3,12,3,1,1,1,65,,4,42,9,3,3,3,49,3,,Medium,Normal,New,0,0,0,Level 1
2448,31,,,,,3,15429,81,1,6,2,1,5,3,92,,4,44,16,3,1,3,38,1,,,Normal,New,0,0,0,Level 3
2449,49,,,,,2,11205,47,23,6,1,1,4,3,72,,3,47,9,4,4,4,31,3,,Very High,High,,1,0,0,Level 2
2450,57,,,,,4,5758,95,13,5,8,3,1,2,7,,6,34,4,2,2,1,43,2,,Medium,Low,,1,1,0,Level 1
2451,50,,,,,3,19914,79,18,5,1,1,2,1,91,,2,48,14,2,2,4,28,1,,,High,,1,1,0,Level 4
2452,55,,,,,2,18162,74,10,9,8,3,1,4,2,,1,36,8,1,4,2,7,1,,,Normal,Expert,1,1,1,Level 4
2453,38,,,,,4,6404,95,23,2,3,2,1,3,43,,1,47,7,1,2,4,16,3,,High,High,,1,0,0,Level 1
2454,55,,,,,1,19766,72,28,10,9,1,2,4,10,,7,31,10,1,2,4,49,4,,,Low,,1,1,1,Level 4
2455,49,,,,,1,18710,58,19,5,8,3,4,3,0,,5,43,19,4,3,2,2,4,,,Normal,,1,0,0,Level 4
2456,52,,,,,2,12481,62,19,1,8,4,4,3,47,,5,49,19,2,1,4,32,3,,,High,,1,1,0,Level 3
2457,37,,,,,2,8068,51,17,5,9,4,3,3,69,,9,51,2,2,2,4,6,2,,High,High,,1,0,0,Level 2
2458,47,,,,,1,16968,39,7,4,4,2,4,2,41,,7,37,3,3,1,4,49,1,,,Normal,Senior,1,0,0,Level 4
2459,30,,,,,2,13229,39,28,4,6,1,3,2,76,,9,42,9,1,4,2,23,4,,,Normal,,1,0,0,Level 3
2460,52,,,,,5,14908,71,8,13,3,1,5,1,44,,5,37,4,2,1,2,30,2,,,Normal,Expert,1,1,0,Level 3
2461,36,,,,,3,13644,27,16,4,9,3,2,2,90,,9,50,14,2,3,3,14,4,,,High,,1,0,0,Level 3
2462,25,,,,,5,14686,91,16,3,3,1,3,1,86,,6,32,1,2,3,3,16,2,,,Low,,1,0,0,Level 3
2463,23,,,,,4,16971,26,27,6,0,1,2,1,33,,1,41,11,1,2,3,13,1,,,Normal,,1,0,0,Level 4
2464,39,,,,,2,6014,77,16,3,9,3,1,3,31,,8,33,10,4,2,1,5,4,,High,Low,,1,0,0,Level 1
2465,46,,,,,2,7174,76,20,6,8,2,2,3,60,,8,42,19,4,4,1,48,3,,High,Normal,,1,0,0,Level 1
2466,34,,,,,4,6104,98,9,6,9,2,2,3,92,,7,41,19,2,4,4,10,4,,High,Normal,Expert,1,0,0,Level 1
2467,25,,,,,3,17017,42,13,11,7,1,2,1,5,,5,46,0,4,1,1,30,1,,,High,,1,0,0,Level 4
2468,33,,,,,1,12905,69,4,10,8,3,1,3,77,,6,48,19,1,3,2,43,2,,,High,Experienced,0,0,0,Level 3
2469,30,,,,,5,15063,89,10,2,0,2,4,3,77,,5,45,5,2,3,3,15,4,,,Normal,Expert,1,0,0,Level 3
2470,58,,,,,3,18814,56,21,9,1,2,3,2,96,,1,45,1,1,1,4,41,3,,,Normal,,1,1,0,Level 4
2471,28,,,,,1,7565,75,27,10,7,2,5,4,87,,2,55,14,3,3,2,32,4,,High,High,,1,0,1,Level 2
2472,45,,,,,1,4538,94,22,8,7,2,2,2,61,,6,52,15,2,1,3,6,2,,Medium,High,,1,0,0,Level 1
2473,35,,,,,2,13804,52,9,14,0,3,2,4,34,,7,58,8,1,1,4,20,3,,,High,Expert,1,0,1,Level 3
2474,24,,,,,4,16225,95,25,13,9,2,3,2,10,,1,41,19,2,4,1,5,3,,,Normal,,1,0,0,Level 4
2475,29,,,,,2,15861,19,24,7,4,4,3,2,13,,8,41,18,4,3,3,43,1,,,Normal,,1,0,0,Level 4
2476,22,,,,,4,11416,98,26,9,5,2,1,4,44,,6,41,16,1,3,3,8,2,,Very High,Normal,,1,0,1,Level 3
2477,32,,,,,2,3846,62,28,8,4,4,3,1,25,,5,44,12,4,4,3,10,3,,Medium,Normal,,1,0,0,Level 1
2478,49,,,,,5,18211,49,18,9,5,4,1,3,89,,3,40,18,4,2,4,29,4,,,Normal,,1,0,0,Level 4
2479,25,,,,,2,17582,62,12,8,6,2,4,2,39,,5,55,13,1,4,3,16,2,,,High,,1,0,0,Level 4
2480,36,,,,,5,7069,28,26,13,9,1,1,1,33,,5,57,17,1,1,2,7,1,,High,High,,1,0,0,Level 1
2481,38,,,,,3,9911,68,10,3,5,2,2,1,78,,9,44,15,1,4,3,42,1,,Very High,Normal,Expert,1,0,0,Level 2
2482,54,,,,,3,12775,40,17,10,2,1,5,3,91,,9,47,7,4,3,3,18,4,,,High,,1,1,0,Level 3
2483,45,,,,,2,15912,57,12,1,5,2,2,1,94,,8,31,10,3,2,4,31,2,,,Low,,1,0,0,Level 4
2484,24,,,,,3,12478,56,2,11,8,3,1,1,65,,7,44,14,2,1,4,29,1,,,Normal,New,0,0,0,Level 3
2485,48,,,,,1,3057,32,14,6,5,3,2,1,21,,7,32,0,2,2,3,37,2,,Medium,Low,,1,0,0,Level 1
2486,56,,,,,5,12876,69,6,12,5,4,4,2,40,,6,52,14,1,4,4,2,3,,,High,Senior,1,1,0,Level 3
2487,39,,,,,4,9869,64,11,14,4,3,4,2,58,,5,49,16,3,4,3,20,4,,Very High,High,Expert,1,0,0,Level 2
2488,40,,,,,5,19171,35,14,3,0,1,5,2,98,,3,57,5,1,2,1,40,3,,,High,,1,0,0,Level 4
2489,29,,,,,2,4304,48,23,3,4,1,5,4,81,,4,39,13,1,1,2,7,3,,Medium,Normal,,1,0,1,Level 1
2490,24,,,,,3,9003,54,14,6,0,4,4,4,31,,6,57,15,1,2,3,46,4,,Very High,High,,1,0,1,Level 2
2491,55,,,,,3,19796,44,6,10,7,2,4,3,34,,7,51,0,1,2,4,26,1,,,High,Senior,1,1,0,Level 4
2492,25,,,,,1,8136,84,1,12,0,3,2,4,69,,2,56,9,2,1,1,37,3,,High,High,New,0,0,1,Level 2
2493,45,,,,,3,5777,39,17,9,7,2,4,3,3,,3,49,18,2,4,2,14,4,,Medium,High,,1,0,0,Level 1
2494,23,,,,,2,3739,83,17,14,3,2,1,4,93,,7,41,14,1,1,2,22,3,,Medium,Normal,,1,0,1,Level 1
2495,58,,,,,2,18783,43,17,5,2,3,2,3,75,,7,45,17,3,3,2,42,3,,,Normal,,1,1,0,Level 4
2496,58,,,,,4,10585,81,10,1,3,2,3,2,7,,8,33,6,2,2,2,48,3,,Very High,Low,Expert,1,1,0,Level 2
2497,54,,,,,5,16753,71,10,10,1,1,5,1,52,,9,40,17,4,4,4,15,4,,,Normal,Expert,1,1,0,Level 4
2498,20,,,,,5,8621,61,14,7,2,4,5,1,84,,9,31,17,1,1,1,41,1,,High,Low,,1,0,0,Level 2
2499,43,,,,,5,15367,31,1,14,3,1,5,3,30,,1,43,0,2,4,4,20,3,,,Normal,New,0,0,0,Level 3
2500,55,,,,,4,4503,63,2,9,8,3,2,3,21,,1,39,6,3,1,2,26,4,,Medium,Normal,New,0,1,0,Level 1
2501,25,,,,,4,3827,64,18,10,9,3,4,2,13,,6,49,19,2,1,1,48,4,,Medium,High,,1,0,0,Level 1
2502,50,,,,,4,18089,98,20,2,1,3,1,4,72,,1,51,4,3,4,4,42,3,,,High,,1,1,1,Level 4
2503,39,,,,,1,12809,19,3,9,2,3,3,3,32,,9,52,11,1,4,3,21,4,,,High,New,0,0,0,Level 3
2504,43,,,,,4,16355,27,4,5,3,2,5,2,15,,1,32,9,1,2,4,31,4,,,Low,Experienced,0,0,0,Level 4
2505,44,,,,,3,12876,77,5,13,2,2,2,4,17,,5,49,6,2,4,1,46,4,,,High,Experienced,1,0,1,Level 3
2506,55,,,,,1,16947,53,20,1,2,4,1,3,15,,1,37,6,1,3,4,33,3,,,Normal,,1,1,0,Level 4
2507,40,,,,,3,8632,82,3,4,8,3,4,1,29,,5,52,18,2,4,2,40,3,,High,High,New,0,0,0,Level 2
2508,49,,,,,5,11886,59,3,8,4,3,3,4,11,,4,56,11,1,4,4,5,3,,Very High,High,New,0,0,1,Level 3
2509,43,,,,,2,19374,31,4,3,8,2,5,1,13,,6,32,8,4,1,2,45,3,,,Low,Experienced,0,0,0,Level 4
2510,49,,,,,5,19282,73,6,5,5,2,4,2,93,,8,31,11,2,3,4,30,1,,,Low,Senior,1,0,0,Level 4
2511,41,,,,,4,8523,94,7,2,9,1,2,1,84,,9,43,13,4,3,2,33,2,,High,Normal,Senior,1,0,0,Level 2
2512,47,,,,,2,12438,73,4,5,7,4,5,1,5,,5,30,11,4,3,4,23,3,,,Low,Experienced,0,0,0,Level 3
2513,26,,,,,5,11591,22,24,14,0,2,2,4,23,,8,46,14,4,3,2,21,1,,Very High,High,,1,0,1,Level 3
2514,54,,,,,1,18821,44,15,12,7,4,4,1,12,,6,42,14,1,3,1,39,4,,,Normal,,1,1,0,Level 4
2515,47,,,,,4,18391,17,6,9,0,3,3,2,51,,8,45,16,2,1,2,31,3,,,Normal,Senior,1,0,0,Level 4
2516,33,,,,,5,3287,31,5,12,8,3,5,3,91,,5,50,7,3,2,2,30,3,,Medium,High,Experienced,1,0,0,Level 1
2517,29,,,,,2,18796,65,8,3,2,1,5,3,80,,8,59,1,4,4,1,7,3,,,High,Expert,1,0,0,Level 4
2518,35,,,,,3,7532,38,6,7,8,1,1,4,73,,6,35,8,3,4,2,20,3,,High,Low,Senior,1,0,1,Level 2
2519,35,,,,,5,13369,94,17,13,7,1,5,4,76,,9,54,3,2,4,4,1,4,,,High,,1,0,1,Level 3
2520,50,,,,,1,3440,78,16,6,6,2,1,2,96,,4,55,17,4,2,1,16,4,,Medium,High,,1,1,0,Level 1
2521,44,,,,,2,7885,98,11,2,0,4,4,3,70,,1,45,2,4,1,1,37,2,,High,Normal,Expert,1,0,0,Level 2
2522,32,,,,,5,4268,88,1,14,6,2,4,1,68,,1,58,12,3,3,4,24,1,,Medium,High,New,0,0,0,Level 1
2523,25,,,,,3,9864,85,14,7,1,3,3,1,96,,3,59,19,4,1,4,45,4,,Very High,High,,1,0,0,Level 2
2524,28,,,,,4,17565,63,13,10,1,3,4,1,97,,5,52,10,3,2,2,34,1,,,High,,1,0,0,Level 4
2525,55,,,,,4,3185,34,10,4,8,1,3,2,13,,4,30,0,4,4,1,20,3,,Medium,Low,Expert,1,1,0,Level 1
2526,39,,,,,4,19348,91,10,14,8,1,2,2,84,,8,47,11,1,4,3,19,1,,,High,Expert,1,0,0,Level 4
2527,37,,,,,2,13640,43,22,6,0,4,1,1,81,,8,52,11,3,3,4,8,4,,,High,,1,0,0,Level 3
2528,40,,,,,3,6543,24,8,7,6,2,2,2,77,,2,58,16,3,2,3,11,3,,High,High,Expert,1,0,0,Level 1
2529,23,,,,,3,12671,23,9,9,4,3,3,2,90,,5,45,5,1,1,1,32,4,,,Normal,Expert,1,0,0,Level 3
2530,52,,,,,5,7886,85,4,7,5,3,5,2,38,,6,42,6,4,2,2,3,4,,High,Normal,Experienced,0,1,0,Level 2
2531,46,,,,,4,7640,77,11,3,0,1,1,1,47,,9,30,3,1,1,1,40,3,,High,Low,Expert,1,0,0,Level 2
2532,26,,,,,2,4144,47,23,9,5,2,2,2,25,,2,44,13,2,2,4,40,4,,Medium,Normal,,1,0,0,Level 1
2533,25,,,,,4,3634,38,9,13,0,3,2,4,27,,9,58,7,3,1,4,19,2,,Medium,High,Expert,1,0,1,Level 1
2534,34,,,,,4,10577,94,12,6,3,3,2,4,64,,4,31,17,4,4,1,26,3,,Very High,Low,,1,0,1,Level 2
2535,37,,,,,5,15853,46,13,4,1,2,4,2,12,,7,51,7,2,2,2,4,1,,,High,,1,0,0,Level 4
2536,51,,,,,5,19916,18,8,12,1,1,5,1,98,,8,30,18,4,1,1,36,4,,,Low,Expert,1,1,0,Level 4
2537,30,,,,,5,15841,76,28,10,0,4,2,3,85,,9,55,13,1,4,1,25,2,,,High,,1,0,0,Level 4
2538,39,,,,,1,3952,92,13,5,6,1,2,1,44,,2,50,4,4,4,4,33,2,,Medium,High,,1,0,0,Level 1
2539,43,,,,,1,5805,36,24,10,1,2,2,1,2,,7,45,0,4,1,1,14,3,,Medium,Normal,,1,0,0,Level 1
2540,34,,,,,2,17363,37,1,1,6,2,5,2,49,,5,47,13,2,4,4,7,3,,,High,New,0,0,0,Level 4
2541,26,,,,,2,9782,40,26,12,1,2,2,3,84,,1,49,4,1,2,2,26,3,,Very High,High,,1,0,0,Level 2
2542,40,,,,,5,14407,63,22,4,6,3,1,2,0,,1,40,5,1,4,2,16,3,,,Normal,,1,0,0,Level 3
2543,45,,,,,3,8212,58,11,14,3,2,4,4,98,,8,42,13,4,2,2,12,1,,High,Normal,Expert,1,0,1,Level 2
